 Lon(deg)   Lat(deg)   z(km)  DVp(%)  p(km/s) s(km/s)  VpVs   g/cm^3  P-ratio
  100.0000    1.2500  -30.00   3.000    6.69    3.86  1.7352   2.883    0.26
  100.0000    1.0000  -30.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.2500    5.2500  -30.00  -0.966    6.44    3.75  1.7189   2.817    0.25
  100.2500    5.0000  -30.00  -1.417    6.41    3.73  1.7169   2.810    0.25
  100.2500    4.7500  -30.00  -0.112    6.49    3.77  1.7225   2.831    0.25
  100.5000    5.2500  -30.00  -1.661    6.39    3.73  1.7159   2.806    0.25
  100.5000    5.0000  -30.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.5000    4.7500  -30.00  -0.345    6.48    3.76  1.7215   2.827    0.25
  100.5000    4.5000  -30.00  -0.291    6.48    3.76  1.7217   2.828    0.25
  100.5000    4.2500  -30.00  -0.357    6.48    3.76  1.7215   2.827    0.25
  100.7500    5.0000  -30.00   2.425    6.66    3.84  1.7329   2.874    0.25
  100.7500    4.7500  -30.00   0.140    6.51    3.78  1.7236   2.835    0.25
  100.7500    4.5000  -30.00  -2.850    6.31    3.69  1.7107   2.788    0.25
  100.7500    4.2500  -30.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  100.7500    4.0000  -30.00  -1.177    6.42    3.74  1.7180   2.814    0.25
  101.0000    4.5000  -30.00  -0.111    6.49    3.77  1.7225   2.831    0.25
  101.0000    4.2500  -30.00  -2.453    6.34    3.70  1.7125   2.794    0.25
  101.0000    4.0000  -30.00  -0.372    6.48    3.76  1.7214   2.827    0.25
  101.2500    4.0000  -30.00  -0.029    6.50    3.77  1.7228   2.833    0.25
  101.2500    3.0000  -30.00  -2.441    6.34    3.70  1.7125   2.794    0.25
  101.2500    2.7500  -30.00  -0.440    6.47    3.76  1.7211   2.826    0.25
  101.5000    3.0000  -30.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  101.5000    2.7500  -30.00  -1.641    6.39    3.73  1.7160   2.807    0.25
  101.7500    2.7500  -30.00  -0.048    6.50    3.77  1.7228   2.832    0.25
  102.7500    5.0000  -30.00  -0.222    6.49    3.77  1.7220   2.829    0.25
  102.7500    2.0000  -30.00  -0.305    6.48    3.76  1.7217   2.828    0.25
  102.7500    1.7500  -30.00  -0.045    6.50    3.77  1.7228   2.832    0.25
  103.0000    5.0000  -30.00  -1.048    6.43    3.74  1.7185   2.816    0.25
  103.0000    2.0000  -30.00  -3.000    6.31    3.69  1.7101   2.785    0.25
  103.0000    1.7500  -30.00  -0.866    6.44    3.75  1.7193   2.819    0.25
  103.2500    5.0000  -30.00  -0.005    6.50    3.77  1.7230   2.833    0.25
  103.2500    2.0000  -30.00  -0.684    6.46    3.75  1.7201   2.822    0.25
  103.2500    1.7500  -30.00  -1.311    6.41    3.74  1.7174   2.812    0.25
  103.2500    1.5000  -30.00   0.147    6.51    3.78  1.7236   2.835    0.25
