YYYY/MM/DD HR:MI:SS.00  Z(km)  EVENT-ID STN   ARRIV-ID  XD(km)   BAZI   RCAL  REIN
2005/03/28 23:13:00.21  34.90   7486410 KGM      73203  729.36  253.12 -1.41 -0.10   189
2005/03/29 00:56:03.04  23.70   7486460 IPM      73203  536.19  234.54  1.37  2.50   190
2005/03/29 00:56:03.04  23.70   7486460 KULM     67283  562.75  224.54  0.03  1.20   191
2005/03/29 00:56:03.04  23.70   7486460 KGM      73203  693.53  266.89  1.98  2.70   192
2005/03/29 01:32:19.92  43.10   7486473 IPM      73203  373.65  212.74  0.11  0.50   193
2005/03/29 01:32:19.92  43.10   7486473 KULM     67283  434.98  201.62 -1.94 -1.40   194
2005/03/29 01:32:19.92  43.10   7486473 KGM      73203  459.15  264.92 -2.12 -1.80   195
2005/03/29 02:40:37.61  25.00   7486498 IPM      73203  558.04  229.38  0.83  2.00   196
2005/03/29 02:40:37.61  25.00   7486498 KULM     67283  592.58  220.09 -0.38  0.80   197
2005/03/29 02:40:37.61  25.00   7486498 KGM      73203  685.18  262.48  1.18  2.00   198
2005/03/29 03:23:51.52  19.20   7486513 IPM      73203  569.63  229.23  1.31  2.20   199
2005/03/29 03:23:51.52  19.20   7486513 KULM     67283  604.25  220.13 -0.44  0.50   200
2005/03/29 03:23:51.52  19.20   7486513 KGM      73203  694.13  261.86  1.05  1.60   201
2005/03/29 03:44:36.10  30.00   7486522 IPM      73203  552.09  231.64  0.78  2.20   202
2005/03/29 03:44:36.10  30.00   7486522 KULM     67284  583.12  222.09 -0.62  0.80   203
2005/03/29 03:44:36.10  30.00   7486522 KGM      73203  692.08  264.27  1.22  2.30   204
2005/03/29 04:09:13.05  22.10   7486530 IPM      73203  542.23  233.95  2.05  3.10   205
2005/03/29 04:09:13.05  22.10   7486530 KULM     67284  569.66  224.09  0.88  1.90   206
2005/03/29 04:09:13.05  22.10   7486530 KGM      73203  695.67  266.24  2.44  3.10   207
2005/03/29 04:19:01.04  21.80   7486533 IPM      73203  562.94  230.10  1.32  2.30   208
2005/03/29 04:19:01.04  21.80   7486533 KULM     67284  596.28  220.83 -0.24  0.80   209
2005/03/29 04:19:01.04  21.80   7486533 KGM      73203  693.12  262.75  1.12  1.80   210
2005/03/29 04:50:07.06  32.50   7486567 IPM      73203  651.66  221.90 -1.20  0.30   211
2005/03/29 04:50:07.06  32.50   7486567 KULM     67284  696.72  214.36 -2.62 -1.00   212
2005/03/29 04:50:07.06  32.50   7486567 KGM      73203  722.36  253.00 -0.36  0.90   213
2005/03/29 05:35:36.21  21.10   7486640 IPM      73203  577.66  224.57  1.60  2.60   214
2005/03/29 05:35:36.21  21.10   7486640 KULM     67285  619.42  215.93 -0.17  0.90   215
2005/03/29 05:35:36.21  21.10   7486640 KGM      73203  675.26  258.23  1.44  2.10   216
2005/03/29 06:16:14.61  26.70   8295907 IPM      73203  368.56  215.38  1.03  2.00   217
2005/03/29 06:16:14.61  26.70   8295907 KULM     67285  426.60  203.72 -1.48 -0.20   218
2005/03/29 06:16:14.61  26.70   8295907 KGM      73203  469.49  266.71 -0.95  0.20   219
2005/03/29 06:24:54.44  27.00   7486657 IPM      73203  555.09  226.63  1.50  2.80   220
2005/03/29 06:24:54.44  27.00   7486657 KULM     67286  593.96  217.50  0.08  1.40   221
2005/03/29 06:24:54.44  27.00   7486657 KGM      73203  667.90  260.74  1.63  2.60   222
2005/03/29 08:02:48.49  30.00   8295935 IPM      73203  478.86  229.50  0.30  1.80   223
2005/03/29 08:02:48.49  30.00   8295935 KULM     67286  514.43  218.78 -1.12  0.40   224
2005/03/29 08:02:48.49  30.00   8295935 KGM      73203  620.90  266.54  1.88  3.00   225
2005/03/29 09:16:03.56  23.70   7486685 IPM      73203  529.75  238.32  1.88  2.90   226
2005/03/29 09:16:03.56  23.70   7486685 KULM     67286  550.19  227.99  0.74  1.90   227
2005/03/29 09:16:03.56  23.70   7486685 KGM      73203  706.68  269.61  1.59  2.30   228
2005/03/29 09:28:22.39  22.00   7486689 IPM      73203  543.78  231.10  2.28  3.30   229
2005/03/29 09:28:22.39  22.00   7486689 KULM     67286  575.78  221.46  0.91  2.00   230
2005/03/29 09:28:22.39  22.00   7486689 KGM      73203  682.32  264.29  1.90  2.60   231
2005/03/29 09:42:57.85  28.00   7486694 IPM      73203  556.09  228.93  1.42  2.70   232
2005/03/29 09:42:57.85  28.00   7486694 KULM     67286  591.37  219.64  0.14  1.50   233
2005/03/29 09:42:57.85  28.00   7486694 KGM      73203  681.13  262.26  1.10  2.10   234
2005/03/29 10:12:42.28  18.00   7486709 IPM      73203  587.07  228.94 -0.26  0.60   235
2005/03/29 10:12:42.28  18.00   7486709 KULM     67286  621.93  220.11 -1.99 -1.10   236
2005/03/29 10:12:42.28  18.00   7486709 KGM      73203  707.32  260.90 -0.02  0.50   237
2005/03/29 10:51:21.68  10.00   8295957 IPM      73203  374.84  215.25  1.28  1.60   238
